topic_name|text_seg|count
WUQUB_KAKIX|vvcubcaquíx|2
WUQUB_KAKIX|vvcubix|1
WUQUB_KAME|vucub came|2
WUQUB_KAME|vucubcame|1
WUQUB_KAME|vvcub came|6
WUQUB_KAME|vvcubcame|3
XBALAMKE|hun ahpu|1
XBALAMKE|xbalan que|2
XBALAMKE|xbalanque|54
XBALAMKE|xbalanq’que|2
XBALAMKE|xbalaque|1
XBALAMKE|xuquixbih|1
XBALANKE|xbalanque|2
XELAJUJ|quezaltenango|1
XELAJUJ|xelahu|1
XE_BALAX|Xebalax|1
XE_BALAX|xebalax|1
XE_KAMAQ|xecamac|2
XIBALBA|al ínfíerno|2
XIBALBA|chi quihila|1
XIBALBA|el infierno|1
XIBALBA|el infíerno|1
XIBALBA|el ífierno|1
XIBALBA|el ínfíerno|7
XIBALBA|xeqhaxba|1
XIBALBA|xibal ba|1
XIBALBA|xibalba|25
XIBALBA|ífíernoinfierno|1
XIBALBA|ín fíerno|1
XIBALBA|ínfíerno|2
XIXBAQIYALO|Me.|2
XIXBAQIYALO|su madre|1
XPIYAKOK|abuelo|1
XPIYAKOK|abuelo nuestro|1
XPIYAKOK|cubridores|1
XPIYAKOK|dos vezes abuelo|1
XPIYAKOK|mamom|1
XPIYAKOK|xpiyacoc|7
XPIYAKOK|xpíya coc|1
XPIYAKOK|xpíyacoc|4
XULU|xulupacam|1
XULU|xuluppacam|1
YAKI_TEPEW|Tepeu iaqui|1
YAKI_TEPEW|Tepeu yaquí|1
YAKI_TEPEW|ruqyaqui tepeu|1
YAKI_TEPEW|ya quí tepeu|1
YAKI_TEPEW|yaqui|2
YAKI_TEPEW|yaquí|3
YAKOLATAM|Yacolatam|2
YAKOLATAM_UTZAM_POP_SAQLATOL|yacolatam, vtzam pop zaclatol|1
YAKOLATAM_UTZAM_POP_SAQLATOL|yacolatam. 8. vtzam pop o, zaclatol.|1
YA_XKANUL|ya xcanul|1
YA_XKANUL|yaxcanul|1
YOLKWAT|yolcuat|2
mançebos|los gémelos divinos|3
pájaro|chi quivac|1
pájaro|halvac|1
pájaro|quivach|2
pájaro|vac|19
pájaro|vach|11
pájaro|vvacac|1
pájaro|vvach|7
pájaro|xvach|1
